1
7*x1-log(x1)
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
2 		| -1.25331730247025e+03	| -1.25331722117732e+03	| -1.25331730247025e+03	 
3 		| -1.25331730252069e+03	| -1.25331730186563e+03	| -1.25331730252069e+03	 
4 		| 			| -1.25331730251539e+03	| 			 
5 		| 			| -1.25331730252064e+03	| 			 
6 		| 			| -1.25331730252069e+03	| 			 
7 		| 			| -1.25331730252069e+03	| 			 
8 		| 			| -1.25331730252069e+03	| 			 
Tempo total 	| 3.06989013671875e+02	| 3.57973876953125e+02	| 3.05769042968750e+02
Tempo derivadas | 4.23994628906250e+02	| 5.23635498046875e+02	| 5.15546386718750e+02
Tempo SL 	| 2.92724609375000e-01	| 7.85156250000000e-01	| 1.71875000000000e+00
#

2
x1^2+x2^2+0
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| 8.00000000000000e+00	| 8.00000000000000e+00	| 8.00000000000000e+00	 
1 		| 0.00000000000000e+00	| 0.00000000000000e+00	| 0.00000000000000e+00	 
Tempo total 	| 1.02050781250000e-01	| 9.79003906250000e-02	| 1.04003906250000e-01
Tempo derivadas | 4.24035156250000e+02	| 5.23669433593750e+02	| 5.15588134765625e+02
Tempo SL 	| 2.92724609375000e-01	| 7.85156250000000e-01	| 1.72265625000000e+00
#

10
x1^2+x2^2+x3^2+x4^2+x5^2+x6^2+x7^2+x8^2+x9^2+x10^2+0
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| 1.00000000000000e+03	| 1.00000000000000e+03	| 1.00000000000000e+03	 
1 		| 0.00000000000000e+00	| 0.00000000000000e+00	| 0.00000000000000e+00	 
Tempo total 	| 1.16894531250000e+00	| 1.11108398437500e+00	| 1.19482421875000e+00
Tempo derivadas | 4.24902587890625e+02	| 5.24468505859375e+02	| 5.16457519531250e+02
Tempo SL 	| 2.96630859375000e-01	| 7.89306640625000e-01	| 1.75146484375000e+00
#

50
x1^2+x2^2+x3^2+x4^2+x5^2+x6^2+x7^2+x8^2+x9^2+x10^2+x11^2+x12^2+x13^2+x14^2+x15^2+x16^2+x17^2+x18^2+x19^2+x20^2+x21^2+x22^2+x23^2+x24^2+x25^2+x26^2+x27^2+x28^2+x29^2+x30^2+x31^2+x32^2+x33^2+x34^2+x35^2+x36^2+x37^2+x38^2+x39^2+x40^2+x41^2+x42^2+x43^2+x44^2+x45^2+x46^2+x47^2+x48^2+x49^2+x50^2+0
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| 1.25000000000000e+05	| 1.25000000000000e+05	| 1.25000000000000e+05	 
1 		| 0.00000000000000e+00	| 0.00000000000000e+00	| 0.00000000000000e+00	 
Tempo total 	| 5.37849121093750e+01	| 3.43630371093750e+01	| 4.38220214843750e+01
Tempo derivadas | 4.76509765625000e+02	| 5.56968261718750e+02	| 5.57977294921875e+02
Tempo SL 	| 5.12695312500000e-01	| 1.01220703125000e+00	| 2.31152343750000e+00
#

100
x1^2+x2^2+x3^2+x4^2+x5^2+x6^2+x7^2+x8^2+x9^2+x10^2+x11^2+x12^2+x13^2+x14^2+x15^2+x16^2+x17^2+x18^2+x19^2+x20^2+x21^2+x22^2+x23^2+x24^2+x25^2+x26^2+x27^2+x28^2+x29^2+x30^2+x31^2+x32^2+x33^2+x34^2+x35^2+x36^2+x37^2+x38^2+x39^2+x40^2+x41^2+x42^2+x43^2+x44^2+x45^2+x46^2+x47^2+x48^2+x49^2+x50^2+x51^2+x52^2+x53^2+x54^2+x55^2+x56^2+x57^2+x58^2+x59^2+x60^2+x61^2+x62^2+x63^2+x64^2+x65^2+x66^2+x67^2+x68^2+x69^2+x70^2+x71^2+x72^2+x73^2+x74^2+x75^2+x76^2+x77^2+x78^2+x79^2+x80^2+x81^2+x82^2+x83^2+x84^2+x85^2+x86^2+x87^2+x88^2+x89^2+x90^2+x91^2+x92^2+x93^2+x94^2+x95^2+x96^2+x97^2+x98^2+x99^2+x100^2+0
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| 1.00000000000000e+06	| 1.00000000000000e+06	| 1.00000000000000e+06	 
1 		| 0.00000000000000e+00	| 0.00000000000000e+00	| 0.00000000000000e+00	 
Tempo total 	| 2.91013183593750e+02	| 2.18658935546875e+02	| 2.93635009765625e+02
Tempo derivadas | 7.61499023437500e+02	| 7.70135986328125e+02	| 8.45118652343750e+02
Tempo SL 	| 2.16967773437500e+00	| 2.66601562500000e+00	| 4.38574218750000e+00
#

2
100*(x2-x1^2)^2+(1-x1)^2+0
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| 1.03010000000000e-02	| 1.03010000000000e-02	| 1.03010000000000e-02	 
1 		| 4.47512876972346e-05	| 4.47512876972346e-05	| 3.06134638174544e-05	 
2 		| 1.98628259133642e-07	| 4.47769493445573e-05	| 2.36819760970239e-05	 
3 		| 1.67056063375693e-14	| 2.06842135437788e-07	| 1.84009378597714e-05	 
4 		| 2.73932442376062e-26	| 4.55459736125207e-09	| 1.42936008347344e-05	 
5 		| 			| 2.15050257858319e-15	| 1.11003339296777e-05	 
6 		| 			| 2.18147431531554e-16	| 8.61857909863489e-06	 
7 		| 			| 			| 6.69039305422687e-06	 
8 		| 			| 			| 5.19270619212908e-06	 
9 		| 			| 			| 4.02968142637959e-06	 
10 		| 			| 			| 3.12672872336118e-06	 
11 		| 			| 			| 2.42582242598804e-06	 
12 		| 			| 			| 1.88184183152756e-06	 
13 		| 			| 			| 1.45971419214083e-06	 
14 		| 			| 			| 1.13218608897953e-06	 
15 		| 			| 			| 8.78086280454257e-07	 
16 		| 			| 			| 6.80972537008441e-07	 
17 		| 			| 			| 5.28078198941892e-07	 
18 		| 			| 			| 4.09492490284426e-07	 
19 		| 			| 			| 3.17523007193790e-07	 
20 		| 			| 			| 2.46200090140734e-07	 
Tempo total 	| 1.14013671875000e-01	| 1.21093750000000e-01	| 4.80957031250000e-01
Tempo derivadas | 7.61573242187500e+02	| 7.70218994140625e+02	| 8.45398437500000e+02
Tempo SL 	| 2.17163085937500e+00	| 2.66894531250000e+00	| 4.44970703125000e+00
#

4
100*(x2-x1^2)^2+(1-x1)^2+100*(x3-x2^2)^2+(1-x2)^2+100*(x4-x3^2)^2+(1-x3)^2+0
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| 3.09030000000000e-02	| 3.09030000000000e-02	| 3.09030000000000e-02	 
1 		| 1.06307897367424e-04	| 1.06307897367424e-04	| 7.38444960017463e-05	 
2 		| 6.52351840213083e-07	| 1.03607629754103e-04	| 5.46976085112189e-05	 
3 		| 3.47092973317749e-13	| 1.04654917080586e-04	| 4.25154941019378e-05	 
4 		| 7.46474097302232e-24	| 1.13358991485677e-04	| 3.30361423251961e-05	 
5 		| 			| 8.96580263533660e-07	| 2.56630143202654e-05	 
6 		| 			| 2.88178666096412e-07	| 1.99304300867614e-05	 
7 		| 			| 7.76124237146083e-07	| 1.54749454341711e-05	 
8 		| 			| 1.92098658398282e-06	| 1.20131348866330e-05	 
9 		| 			| 4.10777915553904e-12	| 9.32413103661920e-06	 
10 		| 			| 2.43606385704076e-12	| 7.23592452090644e-06	 
11 		| 			| 5.05108247320004e-12	| 5.61463025095408e-06	 
12 		| 			| 2.84307142661558e-10	| 4.35608839426086e-06	 
13 		| 			| 2.35261757217244e-20	| 3.37929964968374e-06	 
14 		| 			| 			| 2.62129929461757e-06	 
15 		| 			| 			| 2.03315815900535e-06	 
16 		| 			| 			| 1.57686516707005e-06	 
17 		| 			| 			| 1.22289875000879e-06	 
18 		| 			| 			| 9.48336033243029e-07	 
19 		| 			| 			| 7.35381486610670e-07	 
20 		| 			| 			| 5.70222510372174e-07	 
Tempo total 	| 5.64941406250000e-01	| 1.38916015625000e+00	| 2.44287109375000e+00
